	Word	PoS	FrSp		LogLike	FrWr
	prime	Adj	31	-	1074.8	131
	presence	NoC	11	-	1074.2	89
	III / iii	Num	0	-	1074.2	56
	1980	Num	1	-	1071.5	58
	title	NoC	18	-	1071.1	106
	USA	NoP	0	-	1069.2	56
	bought	Verb	194	+	1068.8	79
	keep	Verb	449	+	1068.0	256
	performance	NoC	36	-	1065.8	141
	Corp	NoC	1	-	1065.2	58
	Ps / ps	Lett	23	+	1065.1	0
	da	NoC	33	+	1062.8	1
	established	Verb	20	-	1062.1	108
	growth	NoC	36	-	1061.1	141
	natural	Adj	43	-	1060.8	154
	subject	NoC	66	-	1059.8	192
	similar	Adj	69	-	1059.1	198
	22	Num	1	-	1058.6	59
	much	DetP	764	+	1057.8	504
	changes	NoC	69	-	1056.3	196
	ow	Int	22	+	1056.0	0
	eat	Verb	170	+	1053.6	65
	itself	Pron	105	-	1052.8	252
	personal	Adj	65	-	1051.3	189
	e.g.	Adv	0	-	1050.7	54
	events	NoC	23	-	1048.3	114
	IBM	NoP	0	-	1045.7	53
	designed	Verb	21	-	1043.8	110
	practice	NoC	62	-	1041.6	184
	considered	Verb	39	-	1037.6	144
	for example	Adv	107	-	1037.0	254
	party	NoC	227	-	1035.7	423
	methods	NoC	16	-	1034.7	98
	28	Num	0	-	1033.1	55
	our	Det	1253	+	1033.0	914
	Darlington	NoP	2	-	1032.8	62
	activities	NoC	29	-	1031.4	126
	French	Adj	40	-	1031.4	145
	parties	NoC	36	-	1030.2	137
	1982	Num	1	-	1029.5	57
	god	NoC	103	+	1027.8	28
	set	Verb	174	-	1025.6	350
	K. / k.	Lett	22	+	1024.3	0
	New	NoP-	24	-	1023.7	115
	period	NoC	111	-	1020.2	258
	provides	Verb	13	-	1016.5	92
	job	NoC	382	+	1016.4	211
	behaviour	NoC	34	-	1013.3	133
	developed	Verb	26	-	1013.2	119
	cases	NoC	71	-	1012.9	195
	L / l	Lett	93	+	1012.4	24
	looking	Verb	428	+	1009.7	245
	claimed	Verb	13	-	1008.4	91
	nodded	Verb	1	-	1008.2	57
	result	NoC	74	-	1007.5	200
	May	NoP	50	-	1007.1	161
	supposed	Adj	133	+	1004.9	45
	students	NoC	48	-	1004.5	157
	arms	NoC	27	-	1002.1	120
	interest	NoC	133	-	1000.4	288
	provided	Verb	38	-	999.8	140
	St	NoP-	28	-	999.4	120
	published	Verb	21	-	998.2	107
	American	Adj	55	-	995.7	169
	below	Adv	16	-	995.2	96
	approach	NoC	48	-	994.8	156
	loss	NoC	31	-	989.1	126
	happens	Verb	140	+	984.6	49
	Monday	NoP	130	+	982.9	44
	pay	Verb	309	+	982.6	160
	attempt	NoC	17	-	982.4	97
	necessary	Adj	71	-	981.6	194
	Scottish	Adj	22	-	979.4	107
	31	Num	1	-	977.3	56
	rose	Verb	4	-	975.4	65
	culture	NoC	15	-	974.4	94
	following	Verb	32	-	974.3	126
	awful	Adj	92	+	970.6	24
	studio	NoC	11	-	969.8	83
	English	Adj	52	-	969.5	161
	motion	NoC	119	+	963.9	38
	23	Num	1	-	961.7	53
	at all	Adv	270	+	961.2	134
	shit	NoC	67	+	959.0	13
	traditional	Adj	23	-	958.7	108
	ya	Int	27	+	957.9	1
	smile	NoC	6	-	957.7	70
	way	NoC	1252	+	956.3	925
	X. / x.	Lett	20	+	951.8	0
	agreement	NoC	42	-	949.4	143
	men	NoC	223	-	947.9	408
	nobody	Pron	144	+	944.9	53
	legal	Adj	41	-	944.9	141
	her	Pron	800	-	942.2	1118
	source	NoC	19	-	942.0	99
	appeal	NoC	19	-	941.3	100
	defence	NoC	33	-	939.4	126
	more	DetP	949	+	938.2	671
	conditions	NoC	56	-	937.2	165
	hear	Verb	254	+	935.1	124
	ring	Verb	88	+	934.0	23
	popular	Adj	27	-	932.2	115
	women	NoC	232	-	931.9	418
	opposition	NoC	19	-	931.6	99
	man	NoC	405	-	929.2	639
	definitely	Adv	92	+	928.6	25
	design	NoC	35	-	927.9	129
	ours	Pron	63	+	927.6	12
	sorts	NoC	88	+	927.2	23
	work	Verb	415	+	924.2	242
	since	Prep	72	-	922.6	190
	form	NoC	133	-	921.3	282
	ever so	Adv	36	+	921.0	3
	private	Adj	69	-	920.4	185
	value	NoC	70	-	919.9	187
	German	Adj	24	-	918.9	107
	move	Verb	251	+	915.4	123
	J.	NoP	0	-	914.3	47
	language	NoC	79	-	914.2	200
	shook	Verb	3	-	913.1	58
	27	Num	0	-	910.7	48
	placed	Verb	17	-	910.5	94
	success	NoC	44	-	910.0	144
	obtained	Verb	7	-	909.2	69
	telly	NoC	42	+	907.0	4
	UN	NoP	1	-	904.3	49
	more than*	Adv	53	-	902.8	159
	cultural	Adj	8	-	900.9	72
	right	NoC	67	-	896.5	181
	companies	NoC	74	-	893.6	190
	cells	NoC	13	-	890.1	84
	BBC	NoP	0	-	889.2	48
	based	Verb	79	-	888.8	199
	less	Adv	119	-	888.3	258
	replied	Verb	5	-	885.0	62
	material	NoC	44	-	884.1	141
	surface	NoC	20	-	882.5	98
	general	Adj	162	-	882.1	317
	Harlow	NoP	33	+	881.8	2
	appear	Verb	31	-	881.1	118
	watch	Verb	148	+	879.7	57
	management	NoC	101	-	878.7	231
	greater	Adj	50	-	878.0	152
	produced	Verb	43	-	877.1	139
	stared	Verb	1	-	876.9	51
	matter	Verb	101	+	876.2	30
	activity	NoC	35	-	875.0	124
	population	NoC	45	-	873.0	142
	groups	NoC	85	-	871.9	206
	group	NoC	249	-	871.1	433
	many	DetP	654	-	870.4	931
	security	NoC	49	-	868.9	149
	contrast	NoC	7	-	868.0	68
	26	Num	1	-	867.6	49
	Selby	NoP	28	+	864.8	1
	model	NoC	44	-	861.3	140
	features	NoC	16	-	861.1	88
	remains	Verb	13	-	860.9	82
	were	Verb	2749	-	858.2	3282
	force	NoC	48	-	855.2	146
	considerable	Adj	24	-	855.2	104
	blah	Int	29	+	853.7	2
	western	Adj	26	-	852.6	107
	France	NoP	40	-	851.7	133
	excuse	Verb	54	+	848.9	9
	'em	Pron	58	+	848.9	11
	importance	NoC	25	-	847.0	105
	July	NoP	38	-	843.9	128
	disease	NoC	21	-	842.3	97
	largely	Adv	13	-	841.9	80
	wrong	Adj	263	+	841.3	136
	movement	NoC	48	-	840.6	145
