	Word	PoS	FrIm		LL		FrIn

	eyebrow	NoC	19	+	786.5	1
	Hazel	NoP	25	+	786.3	2
	oral	Adj	1	-	786.1	29
	movement	NoC	80	-	784.2	162
	seems	Verb	134	-	784.0	236
	same	DetP	471	-	783.4	647
	sweat	NoC	34	+	783.4	6
	tight	Adv	34	+	782.8	6
	Alain	NoP	26	+	782.7	3
	sort of	Adv	33	+	782.4	5
	'ave	Verb	21	+	781.2	1
	dispute	NoC	5	-	781.0	39
	clung	Verb	25	+	780.6	3
	attempts	NoC	15	-	780.5	61
	savings	NoC	4	-	780.3	37
	compensation	NoC	5	-	780.2	41
	film	NoC	50	-	779.7	119
	Henry	NoP	137	+	779.6	67
	winner	NoC	6	-	779.5	41
	English	Adj	92	-	779.4	179
	whole	NoC	41	-	779.2	106
	Ven	NoP	15	+	779.0	0
	format	NoC	1	-	778.8	27
	stations	NoC	8	-	778.6	47
	Thorfinn	NoP	14	+	778.2	0
	enables	Verb	1	-	778.2	28
	swept	Verb	53	+	777.8	15
	presentation	NoC	5	-	776.0	40
	arising	Verb	1	-	775.8	29
	computing	NoC	0	-	775.8	26
	drifted	Verb	30	+	775.7	4
	bid	NoC	5	-	775.5	39
	Tuppe	NoP	14	+	775.1	0
	cabinet	NoC	27	-	775.0	82
	VAT / vat	NoC	2	-	774.4	32
	football	NoC	24	-	774.2	76
	establishment	NoC	11	-	774.0	52
	discourse	NoC	2	-	773.6	32
	Crilly	NoP	15	+	773.5	0
	top	Adj	60	-	773.4	133
	1,000	Num	0	-	772.6	26
	electronic	Adj	7	-	772.5	45
	offer	Verb	51	-	772.2	119
	intently	Adv	19	+	772.1	1
	pressures	NoC	3	-	772.1	35
	luck	NoC	69	+	771.9	23
	benefit	Verb	5	-	771.1	39
	eg	Adv	0	-	770.5	26
	costs	Verb	5	-	770.3	40
	seated	Verb	31	+	769.8	5
	produces	Verb	3	-	769.6	33
	sport	NoC	13	-	769.2	56
	customer	NoC	14	-	768.9	58
	whose	DetP	136	-	768.8	237
	Dana	NoP	26	+	768.5	3
	fat	Adj	62	+	767.9	19
	entry	NoC	18	-	767.9	66
	friend	NoC	250	+	767.9	150
	Tory	Adj	6	-	767.8	42
	judges	NoC	3	-	767.5	34
	combination	NoC	13	-	767.5	57
	Agnes	NoP	31	+	767.2	5
	F / f	Lett	3	-	766.2	35
	increases	Verb	1	-	766.1	26
	Susan	NoP	50	+	766.1	13
	as	Adv	715	+	765.8	537
	quick	Adj	100	+	765.7	42
	residents	NoC	7	-	765.7	44
	resource	NoC	1	-	765.1	29
	institutional	Adj	1	-	764.8	27
	Nicola	NoP	27	+	764.6	3
	generation	NoC	16	-	764.1	62
	critics	NoC	4	-	764.1	36
	eyed	Verb	18	+	763.7	1
	by now	Adv	54	+	763.2	15
	E / e	Lett	11	-	763.2	53
	peering	Verb	23	+	762.7	2
	growing	Adj	23	-	762.7	75
	Evelyn	NoP	28	+	762.6	4
	trembled	Verb	17	+	762.6	0
	democrats	NoC	1	-	762.5	26
	improved	Adj	1	-	762.5	28
	regarded	Verb	31	-	762.5	89
	applies	Verb	4	-	762.4	36
	blushed	Verb	16	+	761.8	0
	hungry	Adj	46	+	761.7	11
	completion	NoC	3	-	761.6	33
	vanished	Verb	34	+	760.7	6
	Johnson	NoP	6	-	760.5	42
	maid	NoC	30	+	760.3	5
	goin'*	Verb	18	+	759.5	1
	through	Adv	146	+	759.5	74
	spoken	Verb	62	+	759.1	20
	recommended	Verb	6	-	758.6	41
	mode	NoC	4	-	758.4	37
	session	NoC	12	-	757.5	55
	taxi	NoC	47	+	757.2	12
	exists	Verb	6	-	756.6	41
	vital	Adj	18	-	756.6	65
	choice	NoC	66	-	756.4	141
	worried	Adj	73	+	756.3	26
	fetch	Verb	33	+	756.2	6
	kissing	Verb	23	+	755.5	2
	release	NoC	15	-	754.9	60
	assess	Verb	3	-	754.3	35
	protested	Verb	37	+	752.8	7
	build	Verb	27	-	752.3	80
	sound	Verb	63	+	751.9	21
	equity	NoC	1	-	751.8	27
	expecting	Verb	51	+	751.8	14
	damn	Adj	21	+	751.7	1
	ethnic	Adj	2	-	751.7	31
	cause	Verb	22	-	751.6	72
	stress	NoC	9	-	751.6	48
	improvements	NoC	2	-	751.6	32
	Lucien	NoP	17	+	751.4	1
	imports	NoC	1	-	751.3	27
	treasury	NoC	3	-	751.2	35
	yer	Det	29	+	750.5	4
	stumbled	Verb	25	+	749.9	3
	plans	NoC	49	-	749.8	116
	offences	NoC	2	-	749.0	32
	all the same	Adv	30	+	748.3	4
	writers	NoC	9	-	747.7	47
	storage	NoC	5	-	747.6	39
	sha~	VMod	18	+	747.2	1
	plan	NoC	62	-	746.7	134
	buyer	NoC	4	-	746.6	36
	points	Verb	5	-	745.8	40
	kinds	NoC	14	-	745.7	58
	scientists	NoC	8	-	745.6	46
	depend	Verb	8	-	745.2	45
	classical	Adj	7	-	743.5	44
	ideal	Adj	15	-	743.4	59
	persons	NoC	11	-	743.4	52
	productivity	NoC	1	-	743.2	26
	boat	NoC	98	+	743.1	42
	error	NoC	10	-	742.7	49
	tore	Verb	26	+	742.5	3
	assistance	NoC	13	-	741.7	56
	Fran	NoP	20	+	741.1	1
	efforts	NoC	22	-	740.9	71
	awarded	Verb	3	-	740.7	34
	Fergus	NoP	20	+	740.6	1
	knife	NoC	61	+	740.6	19
	irritably	Adv	15	+	740.4	0
	Schellenberg	NoP	13	+	740.1	0
	1994	Num	0	-	739.9	23
	philosophy	NoC	8	-	739.7	45
	Noreen	NoP	16	+	739.7	1
	stand	Verb	146	+	739.4	74
	severe	Adj	15	-	739.3	59
	Lachlan	NoP	14	+	739.3	0
	Dinah	NoP	15	+	739.2	0
	final	NoC	4	-	738.9	37
	says	Verb	255	-	738.6	384
	takes	Verb	60	-	737.7	131
	maintained	Verb	11	-	737.6	51
	federation	NoC	1	-	737.6	29
	languages	NoC	7	-	737.5	44
	parted	Verb	28	+	737.3	4
	stone	NoC	139	+	737.0	69
	mortality	NoC	2	-	736.9	31
	champion	NoC	7	-	736.5	42
	mechanism	NoC	5	-	736.4	38
	demonstrated	Verb	4	-	736.3	36
	snorted	Verb	16	+	736.2	0
	board	NoC	76	-	735.0	154
	voices	NoC	58	+	734.8	18
	thighs	NoC	27	+	734.5	4
	hey	Int	33	+	734.2	6
	ludens	Fore	13	+	734.1	0
	surveys	NoC	0	-	733.9	25
	poll	NoC	4	-	733.6	35
	tucked	Verb	31	+	733.2	5
	conduct	NoC	5	-	733.2	39
	smell	Verb	31	+	733.2	5
	transactions	NoC	2	-	732.8	29
	queried	Verb	20	+	732.7	1
	amounts	NoC	3	-	732.4	32
	Beth	NoP	23	+	732.2	2
	torch	NoC	30	+	731.8	5
	gleamed	Verb	15	+	731.0	0
	snarled	Verb	15	+	731.0	0
	Sarella	NoP	13	+	730.7	0
	aged	Prep	4	-	730.5	37
	sunlight	NoC	37	+	730.1	8
	directly	Adv	45	-	730.0	108
	1969	Num	1	-	729.5	27
	experts	NoC	7	-	729.4	42
	Renwick	NoP	15	+	728.7	0
	Betty	NoP	37	+	728.5	8
	mirror	NoC	78	+	728.5	30
	fear	NoC	120	+	728.4	57
	longed	Verb	23	+	728.2	2
	integrated	Adj	0	-	728.0	24
	madam	NoC	24	+	727.5	2
	formed	Verb	32	-	727.2	88
	sharply	Adv	60	+	727.1	19
	psychology	NoC	3	-	727.0	34
	discrimination	NoC	1	-	726.9	27
	achievement	NoC	6	-	726.4	41
	N / n	Lett	4	-	726.2	36
	Stella	NoP	27	+	726.0	3
	publications	NoC	1	-	726.0	27
	roared	Verb	23	+	725.3	2
	experiences	NoC	8	-	725.0	44
	McAllister	NoP	26	+	724.2	3
	hugged	Verb	18	+	723.9	1
	parent	NoC	9	-	723.5	46
	crown	NoC	19	-	722.8	65
	flexibility	NoC	1	-	722.7	26
	reflects	Verb	2	-	722.7	29
	add	Verb	34	-	722.2	91
	aims	Verb	0	-	721.6	24
	experimental	Adj	3	-	721.5	32
	purpose	NoC	48	-	721.5	112
	collar	NoC	38	+	720.1	8
	voted	Verb	2	-	720.1	30
	Korea	NoP	1	-	719.9	26
	dirty	Adj	56	+	719.8	17
	45	Num	2	-	719.3	30
	helplessly	Adv	19	+	719.1	1
	railway	NoC	33	-	719.1	89
	blew	Verb	37	+	718.6	8
	safety	NoC	40	-	718.5	101
	controls	NoC	7	-	718.3	42
	expectations	NoC	7	-	718.2	43
	autonomy	NoC	1	-	716.9	25
	gender	NoC	1	-	716.1	27
	clients	NoC	16	-	715.5	60
	immediate	Adj	26	-	715.4	77
	an	Conj	12	+	714.9	0
	blouse	NoC	21	+	713.9	2
	moments	NoC	71	+	713.5	26
	Rab	NoP	18	+	713.5	1
	challenge	NoC	19	-	713.4	66
	sociology	NoC	1	-	712.7	27
	versions	NoC	3	-	712.4	32
	Thatcher	NoP	7	-	712.1	42
	networks	NoC	1	-	711.9	26
	tasks	NoC	10	-	711.9	48
	organised	Verb	7	-	711.7	42
	opportunity	NoC	53	-	711.5	119
	tendency	NoC	5	-	711.4	38
	considerations	NoC	3	-	711.3	31
	voters	NoC	1	-	711.3	27
	hid	Verb	25	+	711.0	3
	coal	NoC	15	-	711.0	59
	presidential	Adj	2	-	710.9	29
	fans	NoC	8	-	710.7	43
	coffin	NoC	38	+	710.2	8
	associated	Adj	1	-	709.7	26
	economies	NoC	1	-	708.9	25
	preparation	NoC	7	-	708.8	42
	A.	NoP	5	-	708.7	37
	Summerchild	NoP	12	+	708.6	0
	infection	NoC	5	-	708.5	36
	fen	NoC	22	+	708.5	2
	seller	NoC	1	-	708.4	26
	corporation	NoC	8	-	707.8	45
	rode	Verb	34	+	707.7	7
	Tammuz	NoP	13	+	707.7	0
	drug	NoC	18	-	707.1	63
	shivering	Verb	18	+	706.8	1
	sciences	NoC	2	-	706.4	28
	tenant	NoC	4	-	706.4	34
	list	NoC	63	-	706.3	133
	deposits	NoC	1	-	706.3	26
	Nell	NoP	18	+	706.3	1
	dream	NoC	78	+	706.1	30
	page	NoC	51	-	705.1	116
	few	DetP	584	+	705.0	431
	given	Adj	7	-	704.9	41
	constraints	NoC	1	-	704.5	26
	Durham	NoP	3	-	704.3	33
	latest	Adj	29	-	704.0	81
	ban	NoC	3	-	704.0	33
	transaction	NoC	2	-	703.8	31
	Edie	NoP	15	+	703.7	0
	murderer	NoC	28	+	703.5	4
	cupboard	NoC	34	+	703.2	7
	T'ang	NoP	13	+	703.1	0
	elsewhere	Adv	22	-	703.1	70
	Dec	NoP	0	-	702.6	22
	export	NoC	2	-	702.3	28
	completed	Verb	22	-	702.2	69
	arguments	NoC	10	-	702.1	49
	investigation	NoC	19	-	701.9	66
	Canada	NoP	6	-	701.7	38
	expression	NoC	134	+	701.6	68
	glow	NoC	28	+	701.4	4
	'im	Pron	15	+	701.2	0
	conservatives*	NoC	2	-	701.0	29
	comparison	NoC	8	-	700.8	44
	availability	NoC	1	-	700.1	26
	heaved	Verb	16	+	699.8	1
	cities	NoC	14	-	699.6	56
	churches	NoC	8	-	699.5	44
	Daisy	NoP	20	+	699.4	2
	Cleveland	NoP	0	-	699.2	23
	incidence	NoC	0	-	699.0	24
	several	DetP	176	-	698.8	282
	psychological	Adj	5	-	698.1	37
	Ana	NoP	17	+	697.5	1
	speech	NoC	38	-	697.5	96
	Jess	NoP	20	+	696.9	2
	IV / iv	Num	5	-	696.6	38
	Creggan	NoP	14	+	696.6	0
	guidance	NoC	6	-	696.6	40
	consent	NoC	7	-	695.9	42
	Hilary	NoP	29	+	695.7	5
	reluctantly	Adv	32	+	695.7	6
	1967	Num	2	-	695.5	28
	pushing	Verb	53	+	695.4	16
	conclusion	NoC	18	-	695.3	63
	Elise	NoP	13	+	695.3	0
	thereby	Adv	4	-	695.2	36
	MPs	NoC	4	-	694.9	35
	fury	NoC	34	+	694.6	7
	gran	NoC	21	+	694.4	2
	implies	Verb	1	-	694.3	27
	Zealand	NoP	4	-	693.9	35
	in respect of	Prep	5	-	693.7	37
	barely	Adv	56	+	693.7	17
	generated	Verb	4	-	693.5	33
	sold	Verb	40	-	693.0	99
	arrangements	NoC	23	-	692.9	72
	retirement	NoC	8	-	692.8	43
	fixed	Adj	9	-	692.7	45
	mm	NoC	1	-	692.6	24
	beard	NoC	27	+	692.5	4
	priority	NoC	7	-	692.1	42
	signed	Verb	23	-	692.0	71
	implemented	Verb	0	-	691.4	23
	samples	NoC	5	-	691.3	36
	Frau	Fore	15	+	691.2	0
	acts	NoC	7	-	690.5	42
	comparable	Adj	1	-	690.3	25
	pay	NoC	12	-	690.3	51
	plump	Adj	21	+	690.1	2
	controversial	Adj	2	-	690.0	28
	brought	Verb	293	+	689.5	189
	hospitals	NoC	5	-	689.0	37
	representing	Verb	2	-	687.9	30
	Kirov	NoP	17	+	687.3	1
	estimates	NoC	1	-	687.2	25
	purchase	NoC	6	-	687.1	40
	assumptions	NoC	4	-	687.0	33
	concerns	NoC	3	-	686.7	32
	roles	NoC	5	-	686.5	36
	performed	Verb	12	-	686.4	51
	X	Prep	0	-	685.7	22 
	grounds	NoC	26	-	685.5	77
	instantly	Adv	43	+	685.2	11
	towel	NoC	27	+	684.8	4
	polite	Adj	34	+	684.5	7
	grip	NoC	44	+	683.7	12
	wallet	NoC	22	+	683.5	2
	winced	Verb	14	+	683.3	0
	belief	NoC	20	-	683.3	65
	No.	NoC	9	-	683.2	45
	person	NoC	169	-	683.0	272
	Russia	NoP	14	-	682.9	55
	heels	NoC	35	+	682.5	7
	origin	NoC	6	-	682.4	39
	answer	Verb	94	+	682.2	41
	as well	Adv	114	+	681.5	55
	damn	Int	15	+	680.5	0
	scared	Adj	33	+	680.5	6
	stability	NoC	2	-	680.2	29
	Caro	NoP	16	+	680.0	1
	Newcastle	NoP	4	-	679.5	35
	Ari	NoP	14	+	679.5	0
	leads	Verb	10	-	679.4	47
	coverage	NoC	2	-	679.1	29
	ultimately	Adv	5	-	678.8	37
	extend	Verb	7	-	678.6	40
	states	Verb	1	-	678.6	26
	retail	Adj	1	-	677.6	27
	capitalist	Adj	2	-	677.5	28
	1950s	Num	2	-	677.5	28
	USSR	NoP	1	-	676.8	24
	MA	NoP	28	+	676.7	4
	consequence	NoC	9	-	676.7	45
	33	Num	1	-	676.4	24
	Italy	NoP	19	-	676.4	64
	fully	Adv	47	-	676.1	108
	swiftly	Adv	36	+	676.1	8
	East	NoP-	17	-	675.8	60
	influenced	Verb	4	-	674.6	34
	pretended	Verb	21	+	674.5	2
	checked	Verb	56	+	674.2	18
	screaming	Verb	35	+	674.0	7
	shock	NoC	83	+	674.0	34
	lonely	Adj	45	+	673.9	12
	flow	NoC	15	-	673.8	56
	Franca	NoP	14	+	673.8	0
	elbow	NoC	32	+	673.7	6
	creating	Verb	9	-	673.7	46
	Caspar	NoP	15	+	673.5	0
	damp	Adj	45	+	673.2	12
	drawing-room	NoC	18	+	673.0	1
	others	NoC	211	-	672.8	324
	words	NoC	337	+	672.6	226
	Whitlock	NoP	14	+	672.5	0
	foolish	Adj	34	+	672.3	7
	historic	Adj	3	-	671.6	31
	defendants	NoC	0	-	671.5	21
	difference	NoC	58	-	671.3	124
	bitch	NoC	26	+	671.2	4
	controversy	NoC	1	-	671.1	26
	kettle	NoC	26	+	671.1	4
	Lissa	NoP	12	+	670.9	0
	Spain	NoP	15	-	670.5	57
	typical	Adj	17	-	670.2	61
	joke	NoC	48	+	670.2	14
	'em	Pron	31	+	669.9	6
	okay*	Adv	23	+	669.9	3
	suggest	Verb	43	-	669.6	103
	grants	NoC	1	-	669.2	25
	fees	NoC	6	-	668.5	37
	citizens	NoC	8	-	668.2	42
	wet	Adj	71	+	668.1	27
	politicians	NoC	8	-	667.8	43
	daughter	NoC	156	+	667.8	84
	stare	NoC	18	+	667.6	1
	magistrates	NoC	2	-	666.4	27
	cabin	NoC	33	+	666.3	7
	Fairfax	NoP	16	+	666.1	1
	advantages	NoC	6	-	666.1	38
	architecture	NoC	5	-	665.7	37
	Isobel	NoP	17	+	665.4	1
	desperately	Adv	48	+	665.3	14
	Jinny	NoP	11	+	664.3	0
	etc.	Adv	4	-	663.7	33
	Lords	NoP	2	-	662.9	27
	flexible	Adj	3	-	661.9	31
	operating	Verb	5	-	661.7	35
	cause	NoC	35	-	661.2	89
	embarrassed	Adj	35	+	660.8	8
	hold	NoC	61	+	660.8	21
	publishing	NoC	2	-	660.2	29
	potentially	Adv	3	-	660.2	32
	Sylvie	NoP	14	+	660.1	0
	promotion	NoC	8	-	659.4	43
	Flora	NoP	20	+	658.2	2
	abuse	NoC	8	-	657.3	42
	Yorkshire	NoP	11	-	657.1	48
	depends	Verb	15	-	656.8	56
	causes	NoC	5	-	656.6	35
	building	NoC	102	-	656.4	184
	capitalism	NoC	2	-	656.1	26
	existence	NoC	31	-	656.0	83
	jealous	Adj	29	+	655.3	5
	perspective	NoC	7	-	655.1	40
	rugby	NoC	5	-	654.5	36
	horrible	Adj	33	+	654.1	7
	draft	NoC	4	-	653.3	33
	ached	Verb	14	+	652.9	0
	150	Num	1	-	652.5	25
	jurisdiction	NoC	1	-	652.4	26
	startled	Verb	16	+	652.2	1
	beliefs	NoC	4	-	651.8	32
	kisses	NoC	18	+	651.7	1
	Trunchbull	NoP	11	+	651.6	0
	yu	Pron	11	+	651.6	0
	master	NoC	111	+	651.5	53
	foods	NoC	2	-	651.5	28
	dare	Verb	28	+	651.1	5
	km	NoC	0	-	651.0	20
	gas	NoC	32	-	651.0	85
	Molly	NoP	26	+	650.8	4
	ph	NoC	0	-	650.7	21
	pile	NoC	41	+	650.5	11
	penalty	NoC	5	-	649.4	34
	cycle	NoC	7	-	649.3	41
	dot	NoC	31	+	649.2	6
	judge	NoC	16	-	649.0	57
	supposed	Verb	32	+	648.8	6
	tends	Verb	3	-	648.6	30
	Anne	NoP	85	+	648.5	36
	facility	NoC	3	-	648.4	29
	crossly	Adv	13	+	648.1	0
	informal	Adj	4	-	648.0	32
	interim	Adj	1	-	647.8	23
	focus	NoC	11	-	647.7	49
	chief	Adj	37	-	647.5	91
	influence	Verb	4	-	647.2	33
	chap	NoC	31	+	647.1	6
	Rufus	NoP	18	+	647.0	1
	calm	Verb	26	+	646.8	4
	slightly	Adv	143	+	646.4	76
	apartment	NoC	37	+	646.1	8
	lass	NoC	17	+	646.0	1
	Tamar	NoP	13	+	646.0	0
	36	Num	1	-	644.4	24
	technologies	NoC	0	-	644.4	21
	strolled	Verb	18	+	643.8	1
	empirical	Adj	0	-	643.8	21
	statute	NoC	0	-	643.5	21
	establishing	Verb	2	-	643.5	28
	medium	NoC	4	-	643.5	32
	objects	NoC	16	-	643.4	57
	gasp	NoC	14	+	643.1	0
	admit	Verb	73	+	642.8	28
	meetings	NoC	19	-	642.5	62
	jeans	NoC	34	+	642.2	7
	troops	NoC	19	-	642.1	61
	purchaser	NoC	1	-	642.0	25
	resulting	Verb	1	-	642.0	25
	m	NoC	2	-	641.9	26
	consensus	NoC	1	-	641.5	24
	licked	Verb	17	+	641.5	1
	collective	Adj	4	-	641.4	32
	amiss	Adv	19	+	641.0	2
	struck	Verb	83	+	640.1	35
	hallway	NoC	18	+	639.3	1
	000	Num	0	-	639.0	21
	estimated	Adj	1	-	638.0	23
	relation	NoC	6	-	638.0	37
	65	Num	1	-	638.0	24
	Mitch	NoP	17	+	637.9	1
	secondly	Adv	5	-	637.8	35
	Sheffield	NoP	2	-	637.7	28
	Swindon	NoP	2	-	637.4	27
	associations	NoC	2	-	637.4	27
	producers	NoC	1	-	637.0	25
	waving	Verb	25	+	636.8	4
	patient	NoC	33	-	636.8	85
	limits	NoC	7	-	636.7	39
	astonishment	NoC	21	+	636.7	2
	lucky	Adj	75	+	636.5	30
	define	Verb	3	-	636.0	31
	NT	NoP	0	-	635.8	19
	Gedanken	Fore	11	+	635.8	0
	rushed	Verb	40	+	635.6	10
	coughed	Verb	15	+	635.5	1
	city	NoC	164	-	635.5	261
	characters	NoC	12	-	635.5	50
	wildlife	NoC	2	-	634.9	27
	crime	NoC	34	-	634.9	87
	Abberley	NoP	13	+	633.8	0
	variable	NoC	0	-	633.6	20
	noted	Verb	28	-	633.5	77
	400	Num	1	-	633.4	24
	sexual	Adj	34	-	632.7	86
	libraries	NoC	3	-	631.9	29
	consultation	NoC	3	-	631.9	29
	generate	Verb	2	-	631.9	26
	Rex	NoP	27	+	631.3	4
	cigar	NoC	19	+	630.7	2
	Iraqi	Adj	1	-	630.3	23
	link	NoC	12	-	630.2	49
	corpse	NoC	27	+	630.0	5
	doctrine	NoC	1	-	629.8	23
	silver	NoC	78	+	629.7	32
	advantage	NoC	36	-	629.6	89
	wanting	Verb	51	+	629.6	16
	interface	NoC	1	-	629.5	23
	momentarily	Adv	22	+	629.3	3
	payable	Adj	1	-	629.2	23
	increasing	Verb	5	-	628.9	33
	Gloucester	NoP	9	-	628.8	42
	yellow	Adj	77	+	628.7	31
	Trent	NoP	30	+	628.5	6
	spun	Verb	23	+	628.4	3
	Miguel	NoP	19	+	628.4	2
	mused	Verb	16	+	628.4	1
	plc	NoC	1	-	628.3	23
	lap	NoC	36	+	628.2	8
	formula	NoC	5	-	628.1	33
	32	Num	2	-	628.0	27
	geographical	Adj	1	-	627.9	22
	carbon	NoC	3	-	627.8	30
	arises	Verb	1	-	627.6	24
	2000	Num	1	-	627.2	23
	classification	NoC	1	-	627.1	23
	handbag	NoC	21	+	626.9	2
	measured	Verb	7	-	626.8	38
	Daak	NoP	11	+	626.3	0
	sentence	NoC	24	-	626.3	70
	literary	Adj	10	-	626.2	45
	founded	Verb	6	-	625.6	36
	leaving	Verb	158	+	625.6	88
	unemployed	Adj	5	-	625.5	34
	reportedly	Adv	0	-	625.1	20
	acceptable	Adj	10	-	624.8	45
	chairs	NoC	45	+	624.4	13
	forum	NoC	1	-	624.1	24
	pc	NoC	4	-	624.0	31
	armchair	NoC	25	+	623.5	4
	half	Adv	39	+	623.4	10
	fewer	DetP	8	-	623.3	40
	observations	NoC	3	-	623.3	29
	pensions	NoC	1	-	623.0	23
	programs	NoC	1	-	622.8	24
	adds	Verb	3	-	622.6	29
	wryly	Adv	16	+	622.4	1
	meaning	NoC	32	-	622.2	82
	underlying	Adj	3	-	621.8	29
	Josh	NoP	15	+	621.6	1
	refers	Verb	2	-	621.3	25
	mister	NoC	18	+	621.2	2
	Jean	NoP	58	+	620.9	21
	damned	Adj	19	+	620.4	2
	lived	Verb	132	+	620.3	70
	aside	Adv	73	+	619.6	30
	successfully	Adv	9	-	619.3	44
	mam	NoC	17	+	619.1	1
	digital	Adj	2	-	618.8	27
	win	NoC	3	-	618.6	29
	namely	Adv	3	-	618.6	29
	Sharpe	NoP	26	+	618.6	4
	Jessica	NoP	23	+	618.5	3
	organic	Adj	3	-	618.3	28
	Hong	NoP-	6	-	618.2	37
	certain	Adj	152	-	618.1	245
	emissions	NoC	0	-	617.8	20
	swear	Verb	23	+	617.7	3
	one	Pron	916	+	617.4	732
	propped	Verb	17	+	617.3	1
	numerous	Adj	9	-	617.2	42
	ICI	NoP	0	-	617.0	19
	Zeinab	NoP	11	+	616.8	0
	scream	NoC	20	+	616.7	2
	substantially	Adv	1	-	616.3	23
	responses	NoC	5	-	616.1	35
	10%	NoC	0	-	616.0	19
	Feargal	NoP	11	+	616.0	0
	climate	NoC	6	-	615.7	37
	lamp	NoC	36	+	614.7	8
	attacks	NoC	8	-	614.6	41
	ie	Adv	0	-	614.6	21
	barked	Verb	15	+	614.3	1
	devil	NoC	41	+	614.3	11
	Great	NoP-	3	-	613.3	29
	shake	Verb	34	+	613.2	8
	extra	Adj	44	-	613.1	100
	huskily	Adv	11	+	612.9	0
	maman	Fore	11	+	612.9	0
	kid	NoC	37	+	612.2	9
	measurement	NoC	1	-	612.2	23
	shrug	NoC	15	+	612.0	1
	simple	Adj	88	-	612.0	162
	prosecution	NoC	3	-	611.9	28
	strike	NoC	12	-	611.9	48
	D'Arcy	NoP	16	+	611.9	1
	career	NoC	41	-	611.8	95
	five	Num	217	-	611.7	325
	pretend	Verb	33	+	611.6	7
	clouds	NoC	42	+	611.5	11
	Roman	Adj	16	-	611.1	56
	comments	NoC	11	-	610.6	46
	Pamela	NoP	26	+	610.5	4
	relate	Verb	5	-	610.4	33
	Fernando	NoP	22	+	610.1	3
	word	NoC	265	+	609.9	172
	innovation	NoC	1	-	609.7	23
	pavement	NoC	36	+	609.1	9
	loud	Adj	39	+	609.1	10
	mess	NoC	43	+	608.9	12
	Claudel	NoP	11	+	608.8	0
	Jones	NoP	18	-	608.2	59
	temperature	NoC	15	-	608.1	54
	biggest	Adj	16	-	608.0	56
	glowed	Verb	14	+	607.9	1
	moonlight	NoC	19	+	607.8	2
	Tremayne	NoP	11	+	607.6	0
	personnel	NoC	9	-	607.5	43
	Kuwait	NoP	0	-	607.4	20
	garden	NoC	166	+	607.1	95
	uncertainly	Adv	14	+	607.1	0
	monitoring	NoC	1	-	606.9	22
	staggered	Verb	20	+	606.6	2
	Therese	NoP	12	+	606.4	0
	complexity	NoC	1	-	606.2	24
	retain	Verb	5	-	606.1	33
	bitterly	Adv	32	+	605.5	7
	dog	NoC	122	+	605.4	63
	smiling	Adj	24	+	605.0	3
	belly	NoC	26	+	604.7	5
	religion	NoC	16	-	604.7	55
	75	Num	1	-	604.5	23
	smelled	Verb	16	+	604.1	1
	stressed	Verb	3	-	603.4	30
	Menzies	NoP	17	+	603.0	1
	C	NoP	2	-	602.2	26
	Patrick	NoP	63	+	602.0	24
	incorporated	Verb	2	-	602.0	25
	successive	Adj	2	-	601.6	25
	Iran	NoP	2	-	601.5	27
	plans	Verb	2	-	601.4	27
	grant	NoC	11	-	601.1	47
	boundaries	NoC	4	-	600.9	30
	decided	Verb	224	+	600.5	140
	under	Prep	470	-	600.3	621
	errors	NoC	3	-	600.0	28
	beginning	Verb	97	+	599.9	46
	Place	NoC	564	+	599.8	424
	Mandy	NoP	20	+	599.8	2
	firmly	Adv	80	+	599.7	35
	festival	NoC	8	-	599.4	39
	far	Adj	107	+	599.4	52
	systematic	Adj	1	-	599.3	23
	implement	Verb	0	-	599.2	20
	needs	Verb	50	-	599.0	108
	wildly	Adv	26	+	598.6	4
	premier	Adj	1	-	598.5	23
	chapters	NoC	2	-	598.3	27
	efficient	Adj	13	-	598.3	50
	attempt	NoC	51	-	598.1	109
	Morse	NoP	23	+	598.0	3
	Jotan	NoP	10	+	597.9	0
	today	Adv	161	-	597.6	255
	friar	NoC	16	+	597.4	1
	book	NoC	170	-	597.0	266
	rejected	Verb	13	-	596.7	50
	absently	Adv	11	+	596.7	0
	established	Adj	3	-	596.6	27
	traditionally	Adv	2	-	595.6	27
	Pakistan	NoP	2	-	595.6	24
	core	NoC	10	-	595.2	43
	qualifications	NoC	4	-	594.4	30
	targets	NoC	5	-	594.2	33
	Woolley	NoP	15	+	593.7	1
	Y / y	Lett	4	-	593.6	30
	Paula	NoP	29	+	593.0	6
	living-room	NoC	15	+	592.6	1
	friends	NoC	222	+	592.5	139
	in part	Adv	3	-	592.2	28
	treated	Verb	34	-	592.0	85
	conducted	Verb	8	-	591.9	39
	rested	Verb	32	+	591.9	7
	Kong	NoP-	7	-	591.7	37
	Walker	NoP	3	-	591.4	28
	pretending	Verb	26	+	591.1	4
	past	Adj	49	-	591.0	107
	heavy	Adj	152	+	591.0	85
	ceiling	NoC	52	+	590.7	17
	restoration	NoC	2	-	590.6	26
	less	DetP	57	-	590.4	117
	fellow	NoC	44	+	590.3	13
	exports	NoC	2	-	590.3	26
	combined	Verb	6	-	590.2	36
	sports	NoC	15	-	590.2	53
	referendum	NoC	0	-	590.2	20
	normal	Adj	75	-	590.2	143
	Patsy	NoP	18	+	589.9	2
	snow	NoC	61	+	589.9	23
