	Word	PoS	FrIm		LL		FrIn

	Emily	NoP	82	+	3043.5	5
	university	NoC	44	-	3042.5	209
	model	NoC	26	-	3039.0	170
	snapped	Verb	81	+	3027.5	5
	common	Adj	56	-	3025.5	232
	rather than	Prep	45	-	3022.5	211
	treatment	NoC	22	-	3011.3	161
	a bit	Adv	185	+	3011.0	46
	effective	Adj	11	-	3006.3	132
	in terms of	Prep	7	-	3003.9	120
	relations	NoC	18	-	2995.5	150
	beneath	Prep	147	+	2993.2	29
	grey	Adj	142	+	2992.9	27
	developed	Verb	16	-	2989.5	145
	history	NoC	63	-	2986.3	245
	Rachel	NoP	88	+	2984.1	7
	provision	NoC	5	-	2977.8	114
	lifted	Verb	125	+	2976.7	20
	prices	NoC	11	-	2976.6	131
	context	NoC	5	-	2966.5	114
	C / c	Lett	10	-	2966.4	129
	perhaps	Adv	561	+	2963.7	282
	basic	Adj	15	-	2963.3	142
	region	NoC	9	-	2960.0	124
	empty	Adj	152	+	2959.4	32
	design	NoC	21	-	2959.0	157
	majority	NoC	11	-	2956.9	130
	stepped	Verb	105	+	2952.5	13
	EC	NoP	1	-	2944.7	94
	past	Prep	149	+	2943.4	30
	more	Adv	954	-	2940.6	1453
	25	Num	4	-	2921.1	107
	Athelstan	NoP	51	+	2916.6	0
	early	Adj	113	-	2914.9	327
	October	NoP	15	-	2912.9	140
	forces	NoC	20	-	2906.1	152
	glad	Adj	120	+	2905.7	19
	Alice	NoP	93	+	2904.4	9
	might	VMod	878	+	2901.1	518
	quite	Adv	556	+	2897.3	281
	January	NoP	13	-	2896.4	133
	parliament	NoC	11	-	2896.3	128
	slid	Verb	71	+	2893.2	3
	species	NoC	12	-	2886.5	130
	loved	Verb	138	+	2876.1	26
	December	NoP	10	-	2870.3	124
	election	NoC	11	-	2865.3	128
	Kate	NoP	89	+	2862.9	8
	cheek	NoC	78	+	2862.4	5
	forms	NoC	12	-	2854.7	129
	class	NoC	55	-	2848.9	224
	provided	Verb	28	-	2844.3	169
	computer	NoC	31	-	2843.7	174
	frowned	Verb	63	+	2836.5	2
	opposition	NoC	10	-	2823.2	123
	13	Num	4	-	2819.5	105
	main	Adj	99	-	2819.3	299
	clothes	NoC	181	+	2818.9	47
	activity	NoC	21	-	2818.4	151
	14	Num	6	-	2817.5	110
	voice	Verb	4	-	2811.6	103
	Harry	NoP	137	+	2811.0	27
	regional	Adj	3	-	2799.0	102
	heart	NoC	292	+	2796.5	109
	part	NoC	281	-	2795.6	572
	legislation	NoC	1	-	2794.6	93
	dress	NoC	126	+	2790.7	22
	parties	NoC	28	-	2790.5	166
	tired	Adj	117	+	2785.8	19
	blue	Adj	209	+	2778.4	62
	interest	NoC	120	-	2774.7	332
	contract	NoC	20	-	2771.1	146
	independent	Adj	13	-	2768.8	128
	ensure	Verb	15	-	2764.4	135
	laughing	Verb	85	+	2746.8	8
	goods	NoC	15	-	2745.6	133
	particularly	Adv	81	-	2745.4	266
	touched	Verb	102	+	2744.2	14
	100	Num	3	-	2742.1	96
	states	NoC	4	-	2741.9	103
	no one*	Pron	196	+	2741.7	56
	II / ii	Num	10	-	2739.9	121
	traditional	Adj	14	-	2729.3	132
	firms	NoC	4	-	2727.7	101
	hung	Verb	102	+	2724.0	14
	individuals	NoC	6	-	2713.8	106
	strange	Adj	165	+	2713.3	41
	although	Conj	251	-	2709.3	524
	shown	Verb	43	-	2708.3	194
	problem	NoC	118	-	2707.2	326
	up to	Adv	11	-	2702.2	122
	established	Verb	15	-	2700.2	133
	right	Adv	264	+	2696.5	95
	fig.	NoC	0	-	2695.3	82
	performance	NoC	31	-	2694.2	169
	users	NoC	1	-	2693.6	89
	Constance	NoP	58	+	2692.1	2
	types	NoC	9	-	2690.8	117
	glance	NoC	86	+	2688.3	9
