	Word	PoS		FrSp	Ra	DiSp		LogLi	FrWr	Ra	DiWr
	Christmas	NoC	:	194	10	0.74	+	1125.5	76	90	0.88
	church	NoC	%	127	10	0.76	-	712.2	251	90	0.91
	@	@	church	107	10	0.79	-	615.8	214	90	0.91
	@	@	churches	19	8	0.47	-	96.1	37	89	0.86
	city	NoC	%	156	10	0.68	-	691.3	289	90	0.95
	@	@	cities	13	10	0.71	-	340.3	47	90	0.92
	@	@	city	143	10	0.66	-	439.9	241	90	0.94
	claim	Verb	%	55	10	0.82	-	1482.3	205	90	0.92
	@	@	claim	26	10	0.82	-	130.5	50	90	0.94
	@	@	claimed	13	10	0.77	-	1008.4	91	90	0.89
	@	@	claiming	9	10	0.75	-	119.5	24	90	0.91
	@	@	claims	7	9	0.74	-	402.9	40	89	0.85
	class	NoC	%	138	10	0.86	-	597.0	253	90	0.91
	@	@	class	108	10	0.86	-	390.0	189	90	0.91
	@	@	classes	30	10	0.79	-	216.8	64	90	0.91
	clear	Adj	%	145	10	0.75	-	482.4	249	90	0.96
	@	@	clear	140	10	0.75	-	443.6	237	90	0.96
	@	@	clearer	5	10	0.80	-	22.4	9	90	0.95
	@	@	clearest	1	4	0.49	-	26.4	3	76	0.92
	close	Adj	%	79	10	0.88	-	504.3	163	90	0.98
	@	@	close	67	10	0.88	-	367.3	132	90	0.98
	@	@	closer	9	10	0.83	-	95.2	22	90	0.96
	@	@	closest	3	9	0.74	-	52.3	8	90	0.94
	club	NoC	%	110	10	0.91	-	573.2	212	90	0.88
	@	@	club	90	10	0.93	-	460.5	173	90	0.87
	@	@	clubs	20	10	0.74	-	112.8	40	90	0.89
	come	Verb	%	3061	10	0.93	+	14641.7	1333	90	0.94
	@	@	came	473	10	0.91	+	0.1	471	90	0.94
	@	@	come	1737	10	0.90	+	13389.7	574	90	0.94
	@	@	comes	328	10	0.96	+	1637.1	140	90	0.96
	@	@	cometh	0	2	0.29	+	0.1	0	18	0.77
	@	@	comin'	0	0	0.00	-	21.5	1	29	0.77
	@	@	coming	522	10	0.92	+	5045.2	146	90	0.93
	committee	NoC	%	207	10	0.68	-	4.9	218	90	0.92
	@	@	committee	187	10	0.69	-	0.6	190	90	0.91
	@	@	committees	21	8	0.66	-	18.9	28	85	0.89
	common	Adj	:	67	10	0.83	-	1075.8	196	90	0.94
	community	NoC	%	139	10	0.71	-	902.3	288	90	0.92
	@	@	communities	14	8	0.67	-	280.7	45	81	0.89
	@	@	community	125	10	0.72	-	658.5	243	90	0.92
	company	NoC	%	232	10	0.78	-	3051.4	620	90	0.91
	@	@	companies	74	10	0.72	-	893.6	190	90	0.90
	@	@	company	158	10	0.80	-	2157.8	429	90	0.91
	computer	NoC	%	110	10	0.74	-	307.8	182	90	0.84
	@	@	computer	85	10	0.80	-	277.5	145	90	0.84
	@	@	computers	26	10	0.56	-	36.0	37	90	0.81
	concerned	Adj	:	134	10	0.76	-	44.2	160	90	0.95
	condition	NoC	%	78	10	0.78	-	1624.1	256	90	0.94
	@	@	condition	22	10	0.86	-	701.9	90	90	0.93
	@	@	conditions	56	10	0.73	-	937.2	165	90	0.93
	consider	Verb	%	119	10	0.74	-	1453.2	309	90	0.94
	@	@	consider	65	10	0.75	-	311.3	123	90	0.93
	@	@	considered	39	10	0.72	-	1037.6	144	90	0.95
	@	@	considering	10	9	0.72	-	140.4	28	90	0.94
	@	@	considers	4	8	0.67	-	78.8	13	86	0.92
	contain	Verb	%	30	9	0.72	-	2142.9	198	90	0.93
	@	@	contain	8	9	0.75	-	522.9	49	90	0.93
	@	@	contained	10	8	0.65	-	506.8	53	90	0.93
	@	@	containing	4	6	0.61	-	616.2	45	90	0.90
	@	@	contains	8	7	0.72	-	518.6	50	90	0.93
	continue	Verb	%	95	10	0.72	-	1900.8	305	90	0.97
	@	@	continue	66	10	0.72	-	304.0	124	90	0.95
	@	@	continued	10	10	0.68	-	1587.9	117	90	0.95
	@	@	continues	9	9	0.68	-	382.1	43	90	0.93
	@	@	continuing	9	9	0.67	-	79.5	21	90	0.95
	contract	NoC	%	84	10	0.72	-	480.1	167	90	0.82
	@	@	contract	64	10	0.70	-	305.0	120	90	0.81
	@	@	contracts	21	10	0.78	-	180.8	47	89	0.83
	control	NoC	%	90	10	0.80	-	1829.8	291	90	0.94
	@	@	control	83	10	0.80	-	1520.1	256	90	0.94
	@	@	controls	7	10	0.75	-	330.5	35	90	0.87
	cos*	Conj	:	1535	10	0.78	+	68811.4	4	43	0.51
	cost	NoC	%	180	10	0.73	-	380.9	279	90	0.93
	@	@	cost	115	10	0.76	-	94.8	153	90	0.93
	@	@	costs	65	10	0.66	-	347.9	126	90	0.91
